,member_casual,start_station_name,number_of_rides,average_duration
1,casual,Ada St & 95th St,1,15.75
2,casual,Ashland Ave & 73rd St,1,30.75
3,casual,Brandon Ave & 91st St,1,17.2
4,casual,Buffalo Ave & 133rd St,1,3.95
5,casual,Canty Elementary School,1,19.35
6,casual,Central Park Ave & Fillmore St,1,31.11666667
7,casual,Chase Ave & Touhy Ave - NW,1,4.95
8,casual,Christiana Ave & Bryn Mawr Ave,1,14.65
9,casual,Cicero Ave & Le Moyne St - midblock,1,33.43333333
10,casual,City Rack - Albany Ave & 103rd St,1,15.78333333
11,casual,Corliss Ave & 133rd St,1,142.75
12,casual,Cottage Grove & 84th St,1,111.15
13,casual,Cottage Grove Ave & 92nd St,1,24.83333333
14,casual,Damen Ave & 84th St,1,10.11666667
15,casual,Drexel Ave & 87th St,1,6.95
16,casual,Ewing Ave & 101st St,1,111.7666667
17,casual,Ewing Ave & 99th St,1,18.21666667
18,casual,Greenwood Ave & 87th St,1,7.733333333
19,casual,Hale Ave & 111th St,1,13.26666667
20,casual,Homan Ave & 26th St,1,6.666666667
21,casual,Karlov Ave & Milwaukee Ave,1,20.83333333
22,casual,Kedzie Ave & 64th St - SE,1,26.63333333
23,casual,Keef Ave & South Chicago Ave,1,13.03333333
24,casual,Laflin St & 51st St,1,11.21666667
25,casual,Laflin St & 79th St,1,6.6
26,casual,Lamon Ave & Archer Ave,1,8.15
27,casual,Legler Regional Library,1,48.95
28,casual,Loomis Blvd & 83rd St,1,8.683333333
29,casual,Lorel Ave & Chicago Ave,1,20.7
30,casual,Lowe Park,1,12.8
31,casual,May St & 78th St,1,80.11666667
32,casual,Michigan Ave & 102nd St,1,4.116666667
33,casual,Morgan St & 103rd St,1,5.533333333
34,casual,Muskegon Ave & 89th St,1,47.58333333
35,casual,N Sayre Ave & W Belden Ave,1,14.31666667
36,casual,N Shore Channel Trail & Argyle Ave,1,34.96666667
37,casual,New England Ave & Grace St,1,4.6
38,casual,Oglesby Ave & 105th St,1,4.5
39,casual,Panama Ave & Forest Preserve Ave,1,6.216666667
40,casual,Park Manor Elementary School,1,1.983333333
41,casual,Pawel Bialowas - Test- PBSC charging station,1,2.583333333
42,casual,Penn Elementary School / KIPP Ascend Middle School,1,5.066666667
43,casual,Plainfield Ave & Irving Park Rd,1,15.86666667
44,casual,Public Rack - 53rd St & Indiana Ave,1,7.766666667
