"","member_casual","weekday","number_of_rides","average_duration"
"1","casual","Sun",392077,34.0866826754269
"2","casual","Mon",280445,29.2346493964949
"3","casual","Tue",264028,25.9793692335661
"4","casual","Wed",279364,24.7028918066274
"5","casual","Thu",313705,25.5755359865691
"6","casual","Fri",340462,27.7912880634745
"7","casual","Sat",476526,32.5369999398424
"8","member","Sun",390456,14.0493508871678
"9","member","Mon",476903,12.2742966599078
"10","member","Tue",518623,12.1485658175592
"11","member","Wed",537711,12.0666923310105
"12","member","Thu",540301,12.3006578740369
"13","member","Fri",476873,12.5008796541916
"14","member","Sat",445439,14.1515604081966
